id,name,city,category,cashback,taksits,taksit_condition,address,map_lat,map_lng,parent_id
4017,Elit Optimal Ukrayna Dairəsi,,Məişət avadanlığı və elektronika,0,"3, 6, 12, 18, 24",Faizsiz,"1027 Bakı şəh. Xətai ray., Məhəmməd Hadi ev., Ukrayna dairəsi yaxınlığı",40.378049,49.95455,413
440,Saloglu,Bakı,Mebel mağazası,0,"2, 3, 6, 9, 12",Faizsiz,"Bakı şəh., Nərimanov r-nu,Ak. H.Əliyev ev 110 C",40.3926666,49.8333725,0
441,Saloglu H.Zərdabi,Bakı,Mebel mağazası,0,"2, 3, 6, 9, 12",Faizsiz,"Bakı şəh., Yasamal r-nu, Həsənbəy Zərdabi pr. 72 C",40.3927293,49.8333725,473
442,Saloglu Babək pr.,Bakı,Mebel mağazası,0,"2, 3, 6, 9, 12",Faizsiz,"Bakı şəh., Nizami r-nu, Babək pr. ev. 36 A",40.3926039,49.8333725,473
443,Saloglu Qazax 1,Qazax,Mebel mağazası,0,"2, 3, 6, 9, 12",Faizsiz,"Qazax r-nu, Ağköynək kəndi",41.0818872,45.35524,473
444,Saloglu Qazax 2,Qazax,Mebel mağazası,0,"2, 3, 6, 9, 12",Faizsiz,"Qazax r-nu, Ağköynək Ə/V, Bakı-Qazax şossesinin sol kənarı",41.1085597,45.4331475,473
445,Saloglu Gəncə,Gəncə,Mebel mağazası,0,"2, 3, 6, 9, 12",Faizsiz,"Gəncə şəh., Dos-102, ev 8",40.6875964,46.3758789,473
446,Saloglu Goran,Goranboy,Mebel mağazası,0,"2, 3, 6, 9, 12",Faizsiz,"Goranboy rayonu, Goran qəsəbəsi",40.6059432,46.7837578,473
447,Eurofilter Azerbaijan,Bakı,Məişət avadanlığı və elektronika,0,"2, 3, 6, 9, 12, 18",Faizsiz,"Bakı şəh., Nərimanov ray., K.Rəhimov 13B/41",40.3982507,49.8563894,0
448,My Shops,Bakı,Mobil telefon və aksessuar,0,"3, 6, 12, 18, 24",Faizsiz,"Bakı şəh., Nəsimi r-nu, Azadlıq pr.",40.3963801,49.839177,0
449,My Shops 2,Bakı,Mobil telefon və aksessuar,0,"3, 6, 12, 18, 24",Faizsiz,"Bakı şəh., Nəsimi r-nu, Dilarə Əliyeva küç., 200",40.3766843,49.8422233,481
450,My Shops 3,Bakı,Mobil telefon və aksessuar,0,"3, 6, 12, 18, 24",Faizsiz,"Bakı şəh., Səbail r-nu, Nizami küç., ev 166 M1,m.2",40.374136,49.8426003,481
451,MAC,Bakı,Parfümeriya və kosmetika,0,"3, 6",Faizsiz,"Bakı şəh., Nəsimi rayonu, Azadlıq pr., ev. 45",40.37945,49.84732,0
452,Mimi accessories,Bakı,Aksessuar mağazası,0,"3, 6",Faizsiz,"Bakı şəh.,Nəsimi r-nu, R.Behbudov küç., 17",40.376700,49.841642,0
453,FLO,Bakı,Ayaqqabı mağazası,0,"2, 3, 6",Faizsiz,"Bakı şəh.,Yasamal r-nu.,H.Cavid pr.203 A",40.3755559,49.8129456,0
454,FLO Park Bulvar,Bakı,Ayaqqabı mağazası,0,"2, 3, 6",Faizsiz,"Bakı şəh.,Neftçilər pr. Park Bulvar TM",40.3707886,49.8475631,499
455,FLO Gənclik Mall,Bakı,Ayaqqabı mağazası,0,"2, 3, 6",Faizsiz,"Bakı şəh., Fətəli Xan Xoyski pr. Məh.830/835, Gənclik Mall TM",40.4001309,49.8507506,499
456,FLO Metropark,Bakı,Ayaqqabı mağazası,0,"2, 3, 6",Faizsiz,"Bakı şəh.,Nərimanov r-nu,Təbriz küç.ev 106 A,Ağa Nemətulla küç.kəs.",40.409138,49.8625637,499
457,FLO Kids,Bakı,Ayaqqabı mağazası,0,"2, 3, 6",Faizsiz,"Bakı şəh., Azadlıq pr.və Füzuli küç.kəsişməsi ,28 Mall TM",40.3790787,49.8445716,499
458,FLO 8 mkr,Bakı,Ayaqqabı mağazası,0,"2, 3, 6",Faizsiz,"Bakı şəh.,C.Xəndanev 3066 məh.ev 40",40.4178611,49.8236823,499
459,FLO Memar Əcəmi,Bakı,Ayaqqabı mağazası,0,"2, 3, 6",Faizsiz,"Bakı şəh.,Nəsimi r-nu,Cavad Xan ,3 mkr Novruz TM",40.4135017,49.8144006,499
460,FLO M.Hadi,Bakı,Ayaqqabı mağazası,0,"2, 3, 6",Faizsiz,"Bakı şəh.,Xətai r-nu,Məhəmməd Hadi ev 39 R",40.3914181,49.951654,499
461,FLO Gəncə Mall,Gəncə,Ayaqqabı mağazası,0,"2, 3, 6",Faizsiz,"Gəncə şəh.,H.Əliyev pr.ev H.Əliyev küç.kəs.Gəncə Mall 2-ci mərtəbə",40.6769204,46.3599038,499
462,Yukhulu Pajamas,Bakı,Geyim mağazası,0,3,Faizsiz,"Bakı şəh., Nəsimi r-nu, S.Vurğun küç., 34",40.3804414,49.8140157,0
463,Mix Art of Fashion,Bakı,Geyim mağazası,0,"3, 6",Faizsiz,"Bakı şəh., Səbail r-nu, S.Vurğun küç. 21A",40.3736269,49.8397547,0
464,Chicco,Bakı,Geyim mağazası,0,3,Faizsiz,"Bakı şəh., Neftçilər pr. 151 Port Baku Mall",40.375780,49.860069,0
465,Chicco 28 mall,Bakı,Geyim mağazası,0,3,Faizsiz,"Bakı şəh., Azadlıq pr.və Füzuli küç.kəsişməsi, 28 Mall TM",40.379468,49.846318,515
466,Chicco Ganjlik mall,Bakı,Geyim mağazası,0,3,Faizsiz,"Bakı şəh., Fətəli Xan Xoyski pr. Məh.830/835, Gənclik Mall TM",40.400294,49.852966,515
467,Chicco Metropark,Bakı,Geyim mağazası,0,3,Faizsiz,"Bakı şəh., Təbriz küç.106 A, Metropark TM",40.379468,49.846318,515
