id,name,slug,cashback,birbonus,umico_bonus,categories,cities,installments,max_taksit_month,payment_methods,is_bnpl,has_barcode,phone,website,instagram,facebook,voen,image_url,order,created_at,updated_at,published_at
16976,Paşa Sığorta,pasha-sigorta,,,,Sığorta,,2; 3; 6; 9; 12,,,,,,,https://www.instagram.com/pasha_insurance/,,1400837161,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/pashasigorta_07e13b7e13.png,77,2023-07-10T12:57:49.760Z,2026-01-23T13:38:56.058Z,2023-08-16T10:36:04.343Z
16928,İrşad,irsad-1,,,,Elektronika və Texnika,,2; 3; 6; 12; 18,,,,,,,https://www.instagram.com/irshad/,,1404510051,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/irsad_fceb5d2324.png,78,2023-07-10T12:57:49.177Z,2025-12-16T08:27:45.603Z,2023-08-16T10:28:53.811Z
16878,Skandinaviya Evi,skandinaviya-evi,,2,,Ev aksessuarları,,,,,,True,,,,,1400883071,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/skandinaviya_evi_c0382e456a.png,79,2023-07-10T12:57:48.504Z,2025-10-28T08:10:29.773Z,2023-10-10T11:06:32.592Z
16331,Ecofilter.az,ecofilter-az,5,5,,Digər,,,,,,,,,,,,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/ecofilter_3c4424dad4.png,80,2023-07-10T12:57:41.065Z,2025-05-22T06:22:31.012Z,2023-08-14T13:20:55.040Z
16294,149 Avto Təlim,149-avto-t-lim,5,5,,Təhsil,,,,,,,,,,,,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/149_avto_telim_088a438843.png,81,2023-07-10T12:55:26.408Z,2025-05-22T06:21:28.209Z,2023-08-14T11:33:43.752Z
16050,Baseus,baseus,,5,,Elektronika və Texnika,,,,,,True,,,,,2001512232,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/baseus_e111922391.png,83,2023-07-10T12:55:22.934Z,2025-10-28T08:10:06.513Z,2023-08-11T14:26:46.353Z
15155,MyShops,my-shops,,15,,Elektronika və Texnika,,2; 3; 6; 9,,,,True,,https://myshops.az/az,https://www.instagram.com/myshopsaz/ ,https://www.facebook.com/myshops.az/ ,1304975691,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/myshops_cbaf70195a.png,86,2023-07-10T12:51:27.572Z,2025-11-03T13:00:15.843Z,2023-07-19T13:21:37.548Z
14757,Mir Elektroniks,m-ir-elektroniks,3,3,,Elektronika və Texnika,,,,,,,,,,,,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/mirelectronics_573de988ab.png,86,2023-07-10T12:51:22.443Z,2025-05-22T06:19:01.944Z,2023-07-14T11:52:26.024Z
14788,Capsella,capsella,3,3,,Tekstil,,,,,,,,,,,,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/capsella_59126fe0f1.png,89,2023-07-10T12:51:22.801Z,2025-05-22T06:18:11.462Z,2023-07-14T12:57:59.069Z
14718,Femina,femina,5,5,,Geyim,,2; 3; 6; 9; 12,,,,,,,https://www.instagram.com/femina_az/,,2002995182,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/FEMINA_181452fa83.png,90,2023-07-10T12:51:21.963Z,2025-12-01T05:59:56.466Z,2023-07-11T12:55:28.459Z
14675,Barkod  Electronics,barkod-electronics,,,,Elektronika və Texnika,,2; 3; 6; 9,,,,,,https://www.barkodelectronics.az/,https://www.instagram.com/barkod_az/,,3100821171,https://strapi-aws-s3-images-bucket-kb.s3.eu-central-1.amazonaws.com/barkod_bd9eb6364a.png,91,2023-07-10T12:51:21.351Z,2025-12-16T13:19:38.946Z,2023-07-11T07:09:15.844Z
