id,name_az,name_en,name_ru,description_az,description_en,description_ru,phone_number,site_url,cashback,category_id,category_az,category_en,category_ru,social_medias,cities_count,taksits,icon_url,logo_url,status,order_number,is_new,at_home,popularity,hidden,insert_date,branches_count,home_no,whatsapp_link
6258,Jamelia Beauty,Jamelia Beauty,Jamelia Beauty,,,,(055) 428 24 56,,0.0,184,Parfümeriya və kosmetika,Parfümeriya və kosmetika,Parfümeriya və kosmetika,,1,1,,,True,278,False,,3,False,,0,,
6259,Jasmin,Jasmin,Jasmin,,,,(055) 503 04 04,,0.0,184,Parfümeriya və kosmetika,Parfümeriya və kosmetika,Parfümeriya və kosmetika,,1,1; 3; 6,,,True,279,False,,3,False,,0,,
6260,Joyful Travel,Joyful Travel,Joyful Travel,,,,(012) 428 07 94,,0.0,189,Turizm,Turizm,Turizm,,1,1; 3; 6,,,True,280,False,,3,False,,0,,
6261,Kababmood,Kababmood,Kababmood,,,,(077) 609 25 25,,5.0,183,Restoran və kafelər,Restoran və kafelər,Restoran və kafelər,,1,1,,,True,281,False,,3,False,,0,,
6262,Kaballero,Kaballero,Kaballero,,,,(012) 598 11 43,,0.0,181,Geyim,Geyim,Geyim,,1,1; 3; 6,,,True,282,False,,3,False,,0,,
6263,Kabel Evi,Kabel Evi,Kabel Evi,,,,(050) 246 50 04,,0.0,195,Təmir və tikinti,Təmir və tikinti,Təmir və tikinti,,1,1; 3; 6,,,True,283,False,,3,False,,0,,
6264,Kabluçok,Kabluçok,Kabluçok,,,,"(012) 432 72 71 , (077) 377 48 77",,0.0,185,Ayaqqabı,Ayaqqabı,Ayaqqabı,,1,1,,,True,284,False,,3,False,,0,,
6265,Karandaş,Karandaş,Karandaş,,,,(018) 648 30 40,,0.0,192,Dəftərxana,Dəftərxana,Dəftərxana,,1,1; 3,,,True,285,False,,3,False,,0,,
6266,Kavanni,Kavanni,Kavanni,,,,(077) 611 49 49,,5.0,188,Mebel,Mebel,Mebel,,1,1; 2; 3; 6; 9; 12; 18,,,True,286,False,,3,False,,0,,
6268,Keproshop,Keproshop,Keproshop,,,,(012) 566 62 23,,0.0,184,Parfümeriya və kosmetika,Parfümeriya və kosmetika,Parfümeriya və kosmetika,,1,1; 3; 6,,,True,288,False,,3,False,,0,,
6269,Kəlağayım,Kəlağayım,Kəlağayım,,,,(050) 255 08 42,,0.0,187,Saat və aksessuarlar,Saat və aksessuarlar,Saat və aksessuarlar,,1,1; 3; 6,,,True,289,False,,3,False,,0,,
6270,Kia Servis,Kia Servis,Kia Servis,,,,(012) 373 42 35,,0.0,196,"Avtomobil, ehtiyyat hissələri və servis","Avtomobil, ehtiyyat hissələri və servis","Avtomobil, ehtiyyat hissələri və servis",,1,1; 3; 6,,,True,290,False,,3,False,,0,,
6271,Kids Concept,Kids Concept,Kids Concept,,,,(055) 696 37 46,,0.0,198,Uşaqlar üçün,Uşaqlar üçün,Uşaqlar üçün,instagram:https://www.instagram.com/kidsconceptbaku/?hl=en,1,1; 3; 6,,,True,291,False,,3,False,,0,,
6272,Kids Story,Kids Story,Kids Story,,,,,,0.0,181,Geyim,Geyim,Geyim,,1,1; 2; 3,,,True,292,False,,3,False,,0,,
6273,Kids World,Kids World,Kids World,,,,"(012) 433 64 44 , (050) 409 80 80",,8.0,181,Geyim,Geyim,Geyim,,1,1; 3; 6,,,True,293,False,,3,False,,0,,
6274,Kiki&Koko,Kiki&Koko,Kiki&Koko,,,,(070) 203 69 00,,0.0,198,Uşaqlar üçün,Uşaqlar üçün,Uşaqlar üçün,,1,1,,,True,294,False,,3,False,,0,,
6275,Kilim Mebel,Kilim Mebel,Kilim Mebel,,,,,https://www.soliton.az/,0.0,188,Mebel,Mebel,Mebel,facebook:https://www.facebook.com/solitonmagazalari/; instagram:https://www.instagram.com/soliton_magazalari/,1,1; 6; 12; 18; 24,,,True,295,True,,3,False,,0,,
6276,Kimyəvi Təmizləmə,Kimyəvi Təmizləmə,Kimyəvi Təmizləmə,,,,,,0.0,206,Digər,Digər,Digər,,1,1,,,True,296,False,,3,False,,0,,
6277,King Dental,King Dental,King Dental,,,,(051) 810 14 10,,0.0,186,Tibb və Sağlamlıq,Tibb və Sağlamlıq,Tibb və Sağlamlıq,,1,1; 3; 6,,,True,297,False,,3,False,,0,,
6278,Kip,Kip,Kip,,,,(055) 209 38 14,,0.0,181,Geyim,Geyim,Geyim,,1,1; 3; 6,,,True,298,False,,3,False,,0,,
6279,Kms Lider Univermaq,Kms Lider Univermaq,Kms Lider Univermaq,,,,(055) 677 44 99,,0.0,181,Geyim,Geyim,Geyim,,1,1; 2; 3,,,True,299,False,,3,False,,0,,
6280,Koç Mebel,Koç Mebel,Koç Mebel,,,,"(012) 454 95 96, (051) 614 95 96",,0.0,188,Mebel,Mebel,Mebel,,1,1; 3; 6; 9; 12,,,True,300,False,,3,False,,0,,
6281,Komagene,Komagene,Komagene,,,,(077) 711 10 05,,5.0,183,Restoran və kafelər,Restoran və kafelər,Restoran və kafelər,,1,1,,,True,301,False,,3,False,,0,,
6282,Komfort,Komfort,Komfort,,,,(051) 833 26 13,,0.0,181,Geyim,Geyim,Geyim,,1,1,,,True,302,False,,3,False,,0,,
6283,Kompliment,Kompliment,Kompliment,,,,(055) 353 91 13,,0.0,181,Geyim,Geyim,Geyim,,1,1; 3; 6,,,True,303,False,,3,False,,0,,
6285,Koton,Koton,Koton,,,,(055) 205 36 20,,2.0,181,Geyim,Geyim,Geyim,facebook:https://www.facebook.com/Koton.Azerbaycan/?locale=az_AZ; instagram:https://www.instagram.com/koton_azerbaycan/?hl=en,1,1,,,True,305,False,,3,False,,0,,
6286,Koza Dəvətnamə,Koza Dəvətnamə,Koza Dəvətnamə,,,,"(012) 493 02 65 , (012) 493 94 59 , (055) 637 32 42",,0.0,192,Dəftərxana,Dəftərxana,Dəftərxana,,1,1; 3; 6; 12,,,True,306,False,,3,False,,0,,
6287,Kral İnşaat,Kral İnşaat,Kral İnşaat,,,,,,0.0,195,Təmir və tikinti,Təmir və tikinti,Təmir və tikinti,,1,1; 3; 6; 9; 12,,,True,307,False,,3,False,,0,,
6288,Kristal Stone,Kristal Stone,Kristal Stone,,,,(055) 955 91 19,,0.0,195,Təmir və tikinti,Təmir və tikinti,Təmir və tikinti,,1,1; 3; 6; 12,,,True,308,False,,3,False,,0,,
6289,Qardaşlar,Qardaşlar,Qardaşlar,,,,(012) 556 57 56,,0.0,206,Digər,Digər,Digər,,1,1; 3; 6,,,True,309,False,,3,False,,0,,
6290,Qərb Telekom,Qərb Telekom,Qərb Telekom,,,,,,0.0,197,Mobil telefon ve aksessuarları,Mobil telefon ve aksessuarları,Mobil telefon ve aksessuarları,,1,1; 3; 6; 12,,,True,310,False,,3,False,,0,,
6291,Qızılgül,Qızılgül,Qızılgül,,,,(055) 822 23 42,,5.0,183,Restoran və kafelər,Restoran və kafelər,Restoran və kafelər,,1,1,,,True,311,False,,3,False,,0,,
6292,Queen,Queen,Queen,,,,(055) 223 66 11,,0.0,187,Saat və aksessuarlar,Saat və aksessuarlar,Saat və aksessuarlar,,1,1,,,True,312,False,,3,False,,0,,
6293,Qurman,Qurman,Qurman,,,,(070) 568 67 09,,12.0,183,Restoran və kafelər,Restoran və kafelər,Restoran və kafelər,,1,1,,,True,313,False,,3,False,,0,,
6294,Quru Təmizləmə,Quru Təmizləmə,Quru Təmizləmə,,,,(050) 500 90 08,,0.0,206,Digər,Digər,Digər,,1,1; 3; 6,,,True,314,False,,3,False,,0,,
